Source,MetricType,Scenario,Level,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,CHANGE,Region,CY,,Bananas,FS,,report,0.0335035607296366
FU,FU,CHANGE,Region,CY,,Conservation,FS,,report,271.18396874892426
FU,FU,CHANGE,Region,CY,,Cropping,FS,,report,0.91134149505488
FU,FU,CHANGE,Region,CY,,Dairy,FS,,report,0.0
FU,FU,CHANGE,Region,CY,,Forestry,FS,,report,0.8501878973871783
FU,FU,CHANGE,Region,CY,,Grazing,FS,,report,89.58788817001364
FU,FU,CHANGE,Region,CY,,Horticulture,FS,,report,0.09892053606981045
FU,FU,CHANGE,Region,CY,,Stream,FS,,report,31.947480683772202
FU,FU,CHANGE,Region,CY,,Sugarcane,FS,,report,0.0
FU,FU,CHANGE,Region,CY,,Urban + Other,FS,,report,1.489384307207231
FU,FU,CHANGE,Region,CY,,Bananas,PN,,report,0.0
FU,FU,CHANGE,Region,CY,,Conservation,PN,,report,1294.073821138688
FU,FU,CHANGE,Region,CY,,Cropping,PN,,report,0.2536595907718208
FU,FU,CHANGE,Region,CY,,Dairy,PN,,report,0.0
FU,FU,CHANGE,Region,CY,,Forestry,PN,,report,5.560913198071259
FU,FU,CHANGE,Region,CY,,Grazing,PN,,report,351.23605585414157
FU,FU,CHANGE,Region,CY,,Horticulture,PN,,report,0.03645130780173463
FU,FU,CHANGE,Region,CY,,Stream,PN,,report,23.42712543351219
FU,FU,CHANGE,Region,CY,,Sugarcane,PN,,report,0.0
FU,FU,CHANGE,Region,CY,,Urban + Other,PN,,report,0.34624320754588406
FU,FU,CHANGE,Region,CY,,Bananas,PP,,report,0.5630333225252655
FU,FU,CHANGE,Region,CY,,Conservation,PP,,report,420.0998432349925
FU,FU,CHANGE,Region,CY,,Cropping,PP,,report,0.11963860369987417
FU,FU,CHANGE,Region,CY,,Dairy,PP,,report,0.0
FU,FU,CHANGE,Region,CY,,Forestry,PP,,report,2.25860903817164
FU,FU,CHANGE,Region,CY,,Grazing,PP,,report,106.4795812143511
FU,FU,CHANGE,Region,CY,,Horticulture,PP,,report,0.015300554563528551
FU,FU,CHANGE,Region,CY,,Stream,PP,,report,13.034159833181358
FU,FU,CHANGE,Region,CY,,Sugarcane,PP,,report,0.0
FU,FU,CHANGE,Region,CY,,Urban + Other,PP,,report,0.12205544601460391
FU,FU,CHANGE,Region,FI,,Bananas,DIN,,report,0.0
FU,FU,CHANGE,Region,FI,,Conservation,DIN,,report,38.371167544217435
FU,FU,CHANGE,Region,FI,,Cropping,DIN,,report,84.7762098736726
FU,FU,CHANGE,Region,FI,,Dairy,DIN,,report,0.0
FU,FU,CHANGE,Region,FI,,Forestry,DIN,,report,90.67186703804327
FU,FU,CHANGE,Region,FI,,Grazing,DIN,,report,521.5199536486641
FU,FU,CHANGE,Region,FI,,Horticulture,DIN,,report,3.9255235801634822
FU,FU,CHANGE,Region,FI,,Stream,DIN,,report,50.00047462840699
FU,FU,CHANGE,Region,FI,,Sugarcane,DIN,,report,15.522117189224884
FU,FU,CHANGE,Region,FI,,Urban + Other,DIN,,report,49.586860534217045
FU,FU,CHANGE,Region,FI,,Bananas,FS,,report,0.0
FU,FU,CHANGE,Region,FI,,Conservation,FS,,report,66.19140994480924
